cancertype	current_age	age_stop	sex	gene	cum_incidence_risk_percent	CI	CI_truncation
PANCANCER	25	70	BOTH	MLH1	71.7	[64.7 - 78.7]	.
PANCANCER	40	70	BOTH	MLH1	66.0	[57.8 - 74.2]	.
PANCANCER	50	70	BOTH	MLH1	52.7	[41.9 - 63.6]	.
PANCANCER	60	70	BOTH	MLH1	31.6	[17.7 - 45.4]	.
PANCANCER	25	70	BOTH	MSH2	71.6	[61.9 - 81.2]	.
PANCANCER	40	70	BOTH	MSH2	66.8	[55.8 - 77.8]	.
PANCANCER	50	70	BOTH	MSH2	54.7	[40.4 - 69.0]	.
PANCANCER	60	70	BOTH	MSH2	33.0	[14.4 - 51.5]	.
PANCANCER	25	70	BOTH	MSH6	53.6	[38.6 - 68.6]	.
PANCANCER	40	70	BOTH	MSH6	53.6	[38.6 - 68.6]	.
PANCANCER	50	70	BOTH	MSH6	43.3	[26.4 - 60.2]	.
PANCANCER	60	70	BOTH	MSH6	23.9	[5.6 - 42.2]	.
PANCANCER	25	70	BOTH	PMS2	18.2	[0.0 - 41.0]	*
PANCANCER	40	70	BOTH	PMS2	18.2	[0.0 - 41.0]	*
PANCANCER	50	70	BOTH	PMS2	18.2	[0.0 - 41.0]	*
PANCANCER	60	70	BOTH	PMS2	0.0	[0.0 - 0.0]	.
