version	cancer	organ	start_age	stop_age	gender	gene	cumulative_risk	ci_lower_wald	ci_upper_wald	ci_lower_wilson	ci_upper_wilson
V3_20190219_B	VP_LS_AIR_BASE	Any	25	30	MALE	PMS2	0.0	0.0	0.0	0.0	68.0
V3_20190219_B	VP_LS_AIR_BASE	Any	25	35	MALE	PMS2	0.0	0.0	0.0	0.0	68.0
V3_20190219_B	VP_LS_AIR_BASE	Any	25	40	MALE	PMS2	0.0	0.0	0.0	0.0	68.0
V3_20190219_B	VP_LS_AIR_BASE	Any	25	45	MALE	PMS2	0.0	0.0	0.0	0.0	68.0
V3_20190219_B	VP_LS_AIR_BASE	Any	25	50	MALE	PMS2	8.8	0.0	25.2	1.6	71.1
V3_20190219_B	VP_LS_AIR_BASE	Any	25	55	MALE	PMS2	8.8	0.0	25.2	1.6	71.1
V3_20190219_B	VP_LS_AIR_BASE	Any	25	60	MALE	PMS2	21.6	0.0	43.3	7.9	75.5
V3_20190219_B	VP_LS_AIR_BASE	Any	25	65	MALE	PMS2	21.6	0.0	43.3	7.9	75.5
V3_20190219_B	VP_LS_AIR_BASE	Any	25	70	MALE	PMS2	21.6	0.0	43.3	7.9	75.5
V3_20190219_B	VP_LS_AIR_BASE	Any	25	75	MALE	PMS2	37.2	4.8	69.6	15.7	82.0
V3_20190219_B	VP_LS_AIR_BASE	Any	30	35	MALE	PMS2	0.0	0.0	0.0	0.0	40.6
V3_20190219_B	VP_LS_AIR_BASE	Any	30	40	MALE	PMS2	0.0	0.0	0.0	0.0	40.6
V3_20190219_B	VP_LS_AIR_BASE	Any	30	45	MALE	PMS2	0.0	0.0	0.0	0.0	40.6
V3_20190219_B	VP_LS_AIR_BASE	Any	30	50	MALE	PMS2	8.8	0.0	25.2	1.6	47.2
V3_20190219_B	VP_LS_AIR_BASE	Any	30	55	MALE	PMS2	8.8	0.0	25.2	1.6	47.2
V3_20190219_B	VP_LS_AIR_BASE	Any	30	60	MALE	PMS2	21.6	0.0	43.3	7.9	56.1
V3_20190219_B	VP_LS_AIR_BASE	Any	30	65	MALE	PMS2	21.6	0.0	43.3	7.9	56.1
V3_20190219_B	VP_LS_AIR_BASE	Any	30	70	MALE	PMS2	21.6	0.0	43.3	7.9	56.1
V3_20190219_B	VP_LS_AIR_BASE	Any	30	75	MALE	PMS2	37.2	4.8	69.6	15.7	76.6
V3_20190219_B	VP_LS_AIR_BASE	Any	35	40	MALE	PMS2	0.0	0.0	0.0	0.0	26.0
V3_20190219_B	VP_LS_AIR_BASE	Any	35	45	MALE	PMS2	0.0	0.0	0.0	0.0	30.9
V3_20190219_B	VP_LS_AIR_BASE	Any	35	50	MALE	PMS2	8.8	0.0	25.2	1.6	40.5
V3_20190219_B	VP_LS_AIR_BASE	Any	35	55	MALE	PMS2	8.8	0.0	25.2	1.6	40.5
V3_20190219_B	VP_LS_AIR_BASE	Any	35	60	MALE	PMS2	21.6	0.0	43.3	7.9	51.5
V3_20190219_B	VP_LS_AIR_BASE	Any	35	65	MALE	PMS2	21.6	0.0	43.3	7.9	51.5
V3_20190219_B	VP_LS_AIR_BASE	Any	35	70	MALE	PMS2	21.6	0.0	43.3	7.9	52.6
V3_20190219_B	VP_LS_AIR_BASE	Any	35	75	MALE	PMS2	37.2	4.8	69.6	15.7	76.6
V3_20190219_B	VP_LS_AIR_BASE	Any	40	45	MALE	PMS2	0.0	0.0	0.0	0.0	30.9
V3_20190219_B	VP_LS_AIR_BASE	Any	40	50	MALE	PMS2	8.8	0.0	25.2	1.6	40.5
V3_20190219_B	VP_LS_AIR_BASE	Any	40	55	MALE	PMS2	8.8	0.0	25.2	1.6	40.5
V3_20190219_B	VP_LS_AIR_BASE	Any	40	60	MALE	PMS2	21.6	0.0	43.3	7.9	51.5
V3_20190219_B	VP_LS_AIR_BASE	Any	40	65	MALE	PMS2	21.6	0.0	43.3	7.9	51.5
V3_20190219_B	VP_LS_AIR_BASE	Any	40	70	MALE	PMS2	21.6	0.0	43.3	7.9	52.6
V3_20190219_B	VP_LS_AIR_BASE	Any	40	75	MALE	PMS2	37.2	4.8	69.6	15.7	76.6
V3_20190219_B	VP_LS_AIR_BASE	Any	45	50	MALE	PMS2	8.8	0.0	25.2	1.6	39.6
V3_20190219_B	VP_LS_AIR_BASE	Any	45	55	MALE	PMS2	8.8	0.0	25.2	1.6	39.8
V3_20190219_B	VP_LS_AIR_BASE	Any	45	60	MALE	PMS2	21.6	0.0	43.3	7.9	51.3
V3_20190219_B	VP_LS_AIR_BASE	Any	45	65	MALE	PMS2	21.6	0.0	43.3	7.9	51.3
V3_20190219_B	VP_LS_AIR_BASE	Any	45	70	MALE	PMS2	21.6	0.0	43.3	7.9	52.6
V3_20190219_B	VP_LS_AIR_BASE	Any	45	75	MALE	PMS2	37.2	4.8	69.6	15.7	76.6
V3_20190219_B	VP_LS_AIR_BASE	Any	50	55	MALE	PMS2	0.0	0.0	0.0	0.0	29.1
V3_20190219_B	VP_LS_AIR_BASE	Any	50	60	MALE	PMS2	14.1	0.0	32.1	4.0	42.9
V3_20190219_B	VP_LS_AIR_BASE	Any	50	65	MALE	PMS2	14.1	0.0	32.1	4.0	42.9
V3_20190219_B	VP_LS_AIR_BASE	Any	50	70	MALE	PMS2	14.1	0.0	32.1	4.0	46.0
V3_20190219_B	VP_LS_AIR_BASE	Any	50	75	MALE	PMS2	31.2	0.0	64.5	11.2	74.0
V3_20190219_B	VP_LS_AIR_BASE	Any	55	60	MALE	PMS2	14.1	0.0	32.1	4.0	41.8
V3_20190219_B	VP_LS_AIR_BASE	Any	55	65	MALE	PMS2	14.1	0.0	32.1	4.0	41.9
V3_20190219_B	VP_LS_AIR_BASE	Any	55	70	MALE	PMS2	14.1	0.0	32.1	4.0	46.0
V3_20190219_B	VP_LS_AIR_BASE	Any	55	75	MALE	PMS2	31.2	0.0	64.5	11.2	74.0
V3_20190219_B	VP_LS_AIR_BASE	Any	60	65	MALE	PMS2	0.0	0.0	0.0	0.0	26.3
V3_20190219_B	VP_LS_AIR_BASE	Any	60	70	MALE	PMS2	0.0	0.0	0.0	0.0	34.2
V3_20190219_B	VP_LS_AIR_BASE	Any	60	75	MALE	PMS2	19.9	0.0	54.8	3.8	69.2
V3_20190219_B	VP_LS_AIR_BASE	Any	65	70	MALE	PMS2	0.0	0.0	0.0	0.0	34.2
V3_20190219_B	VP_LS_AIR_BASE	Any	65	75	MALE	PMS2	19.9	0.0	54.8	3.8	69.2
V3_20190219_B	VP_LS_AIR_BASE	Any	70	75	MALE	PMS2	19.9	0.0	54.8	3.8	69.2
V3_20190219_B	VP_LS_AIR_BASE	Any	25	30	MALE	MLH1	4.5	0.6	8.3	1.9	10.2
V3_20190219_B	VP_LS_AIR_BASE	Any	25	35	MALE	MLH1	11.3	6.3	16.4	7.3	17.6
V3_20190219_B	VP_LS_AIR_BASE	Any	25	40	MALE	MLH1	18.9	13.1	24.6	13.9	25.5
V3_20190219_B	VP_LS_AIR_BASE	Any	25	45	MALE	MLH1	28.9	22.7	35.2	23.2	35.8
V3_20190219_B	VP_LS_AIR_BASE	Any	25	50	MALE	MLH1	39.2	32.6	45.8	33.0	46.1
V3_20190219_B	VP_LS_AIR_BASE	Any	25	55	MALE	MLH1	46.8	40.0	53.5	40.3	53.8
V3_20190219_B	VP_LS_AIR_BASE	Any	25	60	MALE	MLH1	55.4	48.3	62.5	48.5	62.7
V3_20190219_B	VP_LS_AIR_BASE	Any	25	65	MALE	MLH1	60.6	53.0	68.2	53.3	68.5
V3_20190219_B	VP_LS_AIR_BASE	Any	25	70	MALE	MLH1	63.5	55.4	71.5	55.9	72.1
V3_20190219_B	VP_LS_AIR_BASE	Any	25	75	MALE	MLH1	71.4	62.1	80.7	62.8	81.3
V3_20190219_B	VP_LS_AIR_BASE	Any	30	35	MALE	MLH1	7.2	3.4	10.9	4.3	11.9
V3_20190219_B	VP_LS_AIR_BASE	Any	30	40	MALE	MLH1	15.0	10.1	20.0	10.8	20.8
V3_20190219_B	VP_LS_AIR_BASE	Any	30	45	MALE	MLH1	25.6	19.8	31.4	20.3	32.0
V3_20190219_B	VP_LS_AIR_BASE	Any	30	50	MALE	MLH1	36.3	30.0	42.7	30.4	43.1
V3_20190219_B	VP_LS_AIR_BASE	Any	30	55	MALE	MLH1	44.3	37.6	51.0	37.9	51.3
V3_20190219_B	VP_LS_AIR_BASE	Any	30	60	MALE	MLH1	53.3	46.1	60.5	46.4	60.7
V3_20190219_B	VP_LS_AIR_BASE	Any	30	65	MALE	MLH1	58.7	50.9	66.5	51.3	66.9
V3_20190219_B	VP_LS_AIR_BASE	Any	30	70	MALE	MLH1	61.8	53.5	70.0	54.0	70.7
V3_20190219_B	VP_LS_AIR_BASE	Any	30	75	MALE	MLH1	70.0	60.4	79.7	61.1	80.4
V3_20190219_B	VP_LS_AIR_BASE	Any	35	40	MALE	MLH1	8.5	4.6	12.3	5.4	13.2
V3_20190219_B	VP_LS_AIR_BASE	Any	35	45	MALE	MLH1	19.9	14.5	25.2	15.1	25.9
V3_20190219_B	VP_LS_AIR_BASE	Any	35	50	MALE	MLH1	31.4	25.2	37.7	25.6	38.2
V3_20190219_B	VP_LS_AIR_BASE	Any	35	55	MALE	MLH1	40.0	33.2	46.8	33.6	47.2
V3_20190219_B	VP_LS_AIR_BASE	Any	35	60	MALE	MLH1	49.7	42.2	57.2	42.6	57.5
V3_20190219_B	VP_LS_AIR_BASE	Any	35	65	MALE	MLH1	55.5	47.3	63.7	47.8	64.2
V3_20190219_B	VP_LS_AIR_BASE	Any	35	70	MALE	MLH1	58.8	50.1	67.5	50.7	68.4
V3_20190219_B	VP_LS_AIR_BASE	Any	35	75	MALE	MLH1	67.7	57.4	78.0	58.3	78.9
V3_20190219_B	VP_LS_AIR_BASE	Any	40	45	MALE	MLH1	12.4	7.9	17.0	8.6	17.8
V3_20190219_B	VP_LS_AIR_BASE	Any	40	50	MALE	MLH1	25.1	19.0	31.2	19.6	31.8
V3_20190219_B	VP_LS_AIR_BASE	Any	40	55	MALE	MLH1	34.4	27.5	41.3	28.0	41.8
V3_20190219_B	VP_LS_AIR_BASE	Any	40	60	MALE	MLH1	45.0	37.2	52.9	37.7	53.3
V3_20190219_B	VP_LS_AIR_BASE	Any	40	65	MALE	MLH1	51.4	42.7	60.1	43.3	60.8
V3_20190219_B	VP_LS_AIR_BASE	Any	40	70	MALE	MLH1	55.0	45.6	64.3	46.4	65.4
V3_20190219_B	VP_LS_AIR_BASE	Any	40	75	MALE	MLH1	64.7	53.5	75.9	54.6	76.9
V3_20190219_B	VP_LS_AIR_BASE	Any	45	50	MALE	MLH1	14.4	9.1	19.8	9.9	20.7
V3_20190219_B	VP_LS_AIR_BASE	Any	45	55	MALE	MLH1	25.1	18.2	32.0	19.0	32.7
V3_20190219_B	VP_LS_AIR_BASE	Any	45	60	MALE	MLH1	37.2	28.9	45.5	29.6	46.2
V3_20190219_B	VP_LS_AIR_BASE	Any	45	65	MALE	MLH1	44.5	35.0	54.0	35.9	55.0
V3_20190219_B	VP_LS_AIR_BASE	Any	45	70	MALE	MLH1	48.6	38.2	58.9	39.3	60.3
V3_20190219_B	VP_LS_AIR_BASE	Any	45	75	MALE	MLH1	59.7	47.1	72.3	48.5	73.5
V3_20190219_B	VP_LS_AIR_BASE	Any	50	55	MALE	MLH1	12.5	6.6	18.4	7.7	19.7
V3_20190219_B	VP_LS_AIR_BASE	Any	50	60	MALE	MLH1	26.6	18.0	35.2	19.2	36.4
V3_20190219_B	VP_LS_AIR_BASE	Any	50	65	MALE	MLH1	35.1	24.8	45.5	26.1	46.9
V3_20190219_B	VP_LS_AIR_BASE	Any	50	70	MALE	MLH1	39.9	28.4	51.4	29.9	53.3
V3_20190219_B	VP_LS_AIR_BASE	Any	50	75	MALE	MLH1	52.9	38.5	67.3	40.3	68.9
V3_20190219_B	VP_LS_AIR_BASE	Any	55	60	MALE	MLH1	16.2	8.1	24.2	9.8	26.0
